Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS_Count	Only_Gene_B_Count	Neither_Count	P_Value	Log2OR
KRAS	BRAF	29	978	274	1054	1.8880641241085993e-42	-3.1320825911479737
KRAS	TP53	633	374	1073	255	3.8153103574434487e-22	-1.3139136943569594
KRAS	NRAS	8	999	74	1254	1.849921915925327e-11	-2.8814726006193294
KRAS	RNF43	69	938	195	1133	1.0474278961056472e-09	-1.2263178236663026
KRAS	MSH3	45	962	131	1197	4.026874412952919e-07	-1.2262555520343155
KRAS	PHOX2B	8	999	37	1291	0.00026704605049802325	-1.8395209481141774
KRAS	WHSC1L1	18	989	56	1272	0.0005078862096378412	-1.2743736760900473
KRAS	ZNRF3	10	997	39	1289	0.0006589688081669912	-1.592887270011431
KRAS	AXIN1	25	982	67	1261	0.000941761241342543	-1.061459654669521
KRAS	FOXL2	7	1000	29	1299	0.0023838049164423467	-1.673224642284174
KRAS	CD79A	10	997	34	1294	0.0036928077818513404	-1.3893625387686654
KRAS	PAX5	16	991	44	1284	0.005768810934052629	-1.0857433787014823
KRAS	NUF2	7	1000	26	1302	0.007036177082362963	-1.5123553475799396
KRAS	STK11	10	997	31	1297	0.009688327327714859	-1.2527551456460093
KRAS	TMEM127	1	1006	11	1317	0.01140604265352553	-3.07080657818631
KRAS	MCL1	4	1003	18	1310	0.01280694687824971	-1.7846797956296803
KRAS	PNRC1	4	1003	18	1310	0.01280694687824971	-1.7846797956296803
KRAS	NKX2-1	15	992	39	1289	0.013839974109127611	-1.000671385278954
KRAS	AKT3	7	1000	24	1304	0.013989471633843963	-1.3946637090945615
KRAS	MAP2K1	10	997	29	1299	0.017824835175226445	-1.1543168791905247
KRAS	TNFRSF14	5	1002	19	1309	0.0194875408267528	-1.5404168298061907
KRAS	ZRSR2	10	997	28	1300	0.023914607135600622	-1.1025806136526208
KRAS	HIST1H3J	3	1004	14	1314	0.02606805630034789	-1.8341864149648903
KRAS	VTCN1	3	1004	14	1314	0.02606805630034789	-1.8341864149648903
KRAS	STK19	4	1003	16	1312	0.02738138557048032	-1.612553885994097
KRAS	SESN2	6	1001	20	1308	0.027567725743656336	-1.351045027504117
KRAS	SOX2	10	997	27	1301	0.03183705087125795	-1.0490038549565066
KRAS	HIST1H3H	0	1007	6	1322	0.033678055902287604	-inf
KRAS	KLF5	2	1005	11	1317	0.035903440827004494	-2.069371774447074
KRAS	MST1	8	999	22	1306	0.0474606613845775	-1.0728333048832848
KRAS	CDKN1A	1	1006	8	1320	0.04840110675458429	-2.6080923755597114
