Gene	Degree	Degree_Centrality	Betweenness_Centrality	Eigenvector_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	10	1.0	0.2852	0.4488	1.0	0.3778
TP53	10	1.0	0.2852	0.4488	1.0	0.3778
CDKN2A	6	0.6	0.0185	0.3528	0.7143	0.8
SMAD4	6	0.6	0.0278	0.345	0.7143	0.7333
RNF43	5	0.5	0.0056	0.3139	0.6667	0.9
TGFBR2	4	0.4	0.0	0.2641	0.625	1.0
KDM6A	4	0.4	0.0	0.2693	0.625	1.0
SMAD3	3	0.3	0.0	0.2098	0.5882	1.0
FBXW7	2	0.2	0.0	0.1515	0.5556	1.0
SF3B1	2	0.2	0.0	0.1515	0.5556	1.0
U2AF1	2	0.2	0.0	0.1515	0.5556	1.0
