Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	7	13	1	0.619	3.71	0.174	0.698	2	11.15
1	55	100	1	0.067	3.64	0.074	0.191	7	3.52
2	15	44	1	0.419	5.87	0.123	0.567	3	42.39
3	16	24	1	0.2	3.0	0.185	0.636	7	4.38
4	5	10	1	1.0	4.0	0.77	1.0	1	3.9
5	2	1	1	1.0	1.0	0.0	0.0	1	3.0
6	11	12	1	0.218	2.18	0.248	0.207	4	3.08
7	2	1	1	1.0	1.0	0.0	0.0	1	3.0
8	4	6	1	1.0	3.0	0.788	1.0	1	9.5
9	2	1	1	1.0	1.0	0.0	0.0	1	5.0
10	3	3	1	1.0	2.0	0.711	1.0	1	3.67
11	5	10	1	1.0	4.0	1.0	1.0	1	3.0
12	3	3	1	1.0	2.0	0.825	1.0	1	3.33
13	2	1	1	1.0	1.0	0.0	0.0	1	5.0
14	3	2	1	0.667	1.33	0.0	0.0	2	10.5
15	2	1	1	1.0	1.0	0.0	0.0	1	9.0
16	2	1	1	1.0	1.0	0.0	0.0	1	3.0
17	2	1	1	1.0	1.0	0.0	0.0	1	3.0
